AR	Benton	36.4805825	-94.4580681
AZ	Apache	36.4611122	-109.4784394
AZ	Apache	36.546112	-109.5176069
AZ	Apache	34.5714281	-109.2203696
AZ	Maricopa	33.2486547	-112.7735045
AZ	Graham	32.4709038	-109.9361853
AZ	Apache	35.8750096	-109.5442721
AZ	Pima	32.4278489	-111.2906617
AZ	Navajo	33.9950482	-110.5126118
AZ	Coconino	35.2725114	-110.9268068
AZ	Navajo	35.391677	-110.746526
AZ	La Paz	33.6119689	-114.5193988
AZ	Mohave	36.7944292	-113.149387
AZ	Mohave	35.3366627	-114.5880229
AZ	Greenlee	32.5320196	-109.1025596
AZ	Cochise	31.3945449	-110.0978549
AZ	Apache	35.7397355	-109.4948255
AZ	Coconino	36.9299871	-112.3743602
AZ	Navajo	34.9728028	-109.9565066
AZ	Apache	36.6472232	-109.6031645
AZ	Apache	34.5542019	-109.6839974
AZ	Yavapai	34.0375285	-112.789624
AZ	Apache	34.5580917	-109.7864984
AZ	Maricopa	33.9986406	-112.7446226
AZ	Yuma	32.7047694	-114.2488297
AZ	Apache	35.9930625	-109.5381617
AZ	Graham	32.9183971	-109.8339706
AZ	Mohave	36.1166529	-114.000792
AZ	Coconino	36.1983139	-112.251007
AZ	Apache	34.7339215	-109.731499
AZ	Maricopa	32.9875453	-112.7590553
AZ	Gila	33.4794988	-110.3795443
AZ	Mohave	34.3833509	-113.6674339
AZ	Mohave	34.9525042	-114.3271791
